,position,time,temperature
0,0.0,0.0,1.0
1,0.0,0.01,0.0
2,0.0,0.02,0.0
3,0.0,0.03,0.0
4,0.0,0.04,0.0
5,0.0,0.05,0.0
6,0.0,0.06,0.0
7,0.0,0.07,0.0
8,0.0,0.08,0.0
9,0.0,0.09,0.0
10,0.0,0.1,0.0
11,0.0,0.11,0.0
12,0.0,0.12,0.0
13,0.0,0.13,0.0
14,0.0,0.14,0.0
15,0.0,0.15,0.0
16,0.0,0.16,0.0
17,0.0,0.17,0.0
18,0.0,0.18,0.0
19,0.0,0.19,0.0
20,0.0,0.2,0.0
21,0.0,0.21,0.0
22,0.0,0.22,0.0
23,0.0,0.23,0.0
24,0.0,0.24,0.0
25,0.0,0.25,0.0
26,0.0,0.26,0.0
27,0.0,0.27,0.0
28,0.0,0.28,0.0
29,0.0,0.29,0.0
30,0.0,0.3,0.0
31,0.0,0.31,0.0
32,0.0,0.32,0.0
33,0.0,0.33,0.0
34,0.0,0.34,0.0
35,0.0,0.35000000000000003,0.0
36,0.0,0.36,0.0
37,0.0,0.37,0.0
38,0.0,0.38,0.0
39,0.0,0.39,0.0
40,0.0,0.4,0.0
41,0.0,0.41000000000000003,0.0
42,0.0,0.42,0.0
43,0.0,0.43,0.0
44,0.0,0.44,0.0
45,0.0,0.45,0.0
46,0.0,0.46,0.0
47,0.0,0.47000000000000003,0.0
48,0.0,0.48,0.0
49,0.0,0.49,0.0
50,0.0,0.5,0.0
51,0.0,0.51,0.0
52,0.0,0.52,0.0
53,0.0,0.53,0.0
54,0.0,0.54,0.0
55,0.0,0.55,0.0
56,0.0,0.56,0.0
57,0.0,0.5700000000000001,0.0
58,0.0,0.58,0.0
59,0.0,0.59,0.0
60,0.0,0.6,0.0
61,0.0,0.61,0.0
62,0.0,0.62,0.0
63,0.0,0.63,0.0
64,0.0,0.64,0.0
65,0.0,0.65,0.0
66,0.0,0.66,0.0
67,0.0,0.67,0.0
68,0.0,0.68,0.0
69,0.0,0.6900000000000001,0.0
70,0.0,0.7000000000000001,0.0
71,0.0,0.71,0.0
72,0.0,0.72,0.0
73,0.0,0.73,0.0
74,0.0,0.74,0.0
75,0.0,0.75,0.0
76,0.0,0.76,0.0
77,0.0,0.77,0.0
78,0.0,0.78,0.0
79,0.0,0.79,0.0
80,0.0,0.8,0.0
81,0.0,0.81,0.0
82,0.0,0.8200000000000001,0.0
83,0.0,0.8300000000000001,0.0
84,0.0,0.84,0.0
85,0.0,0.85,0.0
86,0.0,0.86,0.0
87,0.0,0.87,0.0
88,0.0,0.88,0.0
89,0.0,0.89,0.0
90,0.0,0.9,0.0
91,0.0,0.91,0.0
92,0.0,0.92,0.0
93,0.0,0.93,0.0
94,0.0,0.9400000000000001,0.0
95,0.0,0.9500000000000001,0.0
96,0.0,0.96,0.0
97,0.0,0.97,0.0
98,0.0,0.98,0.0
99,0.0,0.99,0.0
100,0.0,1.0,0.0
101,0.01,0.0,1.0
102,0.01,0.01,0.9203097924038209
103,0.01,0.02,0.8414211400198428
104,0.01,0.03,0.7640852380037382
105,0.01,0.04,0.689059586849073
106,0.01,0.05,0.6169570801350139
107,0.01,0.06,0.5484086527303771
108,0.01,0.07,0.48382433455838064
109,0.01,0.08,0.4236527739428641
110,0.01,0.09,0.368070897853585
111,0.01,0.1,0.31732380643323665
112,0.01,0.11,0.27136188231940295
113,0.01,0.12,0.23023902368904536
114,0.01,0.13,0.19371662151454289
115,0.01,0.14,0.16169528173022796
116,0.01,0.15,0.13380441841052046
117,0.01,0.16,0.1098427777311319
118,0.01,0.17,0.08937079073922362
119,0.01,0.18,0.07213801116742348
120,0.01,0.19,0.05769304028766106
121,0.01,0.2,0.04578063250320723
122,0.01,0.21,0.03598109465613052
123,0.01,0.22,0.028065310457205235
124,0.01,0.23,0.021672195911107202
125,0.01,0.24,0.016615327257658213
126,0.01,0.25,0.012603541065588877
127,0.01,0.26,0.009497548145134066
128,0.01,0.27,0.007075400324442025
129,0.01,0.28,0.005241073026214762
130,0.01,0.29,0.003833583570397006
131,0.01,0.3,0.002791944461473872
132,0.01,0.31,0.0020044459603423413
133,0.01,0.32,0.0014357310385380555
134,0.01,0.33,0.001011266177375204
135,0.01,0.34,0.000712778485972104
136,0.01,0.35000000000000003,0.0004922220738736564
137,0.01,0.36,0.00034168611776597466
138,0.01,0.37,0.00023110341157662052
139,0.01,0.38,0.00015820528959080378
140,0.01,0.39,0.00010463742651540793
141,0.01,0.4,7.078495437400512e-05
142,0.01,0.41000000000000003,4.566822192444991e-05
143,0.01,0.42,3.0627047046830383e-05
144,0.01,0.43,1.919836913548149e-05
145,0.01,0.44,1.2829329486507273e-05
146,0.01,0.45,7.76385921141613e-06
147,0.01,0.46,5.2118988207802905e-06
148,0.01,0.47000000000000003,3.013503058383204e-06
149,0.01,0.48,2.0589928254789745e-06
150,0.01,0.49,1.1181231049749109e-06
151,0.01,0.5,7.942962742097385e-07
152,0.01,0.51,3.9362369801790963e-07
153,0.01,0.52,3.010819957037347e-07
154,0.01,0.53,1.2955661676788816e-07
155,0.01,0.54,1.131475556928453e-07
156,0.01,0.55,3.8604419104047936e-08
157,0.01,0.56,4.265890271865094e-08
158,0.01,0.5700000000000001,9.542409953094866e-09
159,0.01,0.58,1.6358527892686808e-08
160,0.01,0.59,1.2893574772499666e-09
161,0.01,0.6,6.462115120808881e-09
162,0.01,0.61,-5.369830423464254e-10
163,0.01,0.62,2.6495726088431435e-09
164,0.01,0.63,-6.444704163990726e-10
165,0.01,0.64,1.1269089406847385e-09
166,0.01,0.65,-4.303980792483065e-10
167,0.01,0.66,4.931670740509959e-10
168,0.01,0.67,-2.4045383493177435e-10
169,0.01,0.68,2.1943061521597793e-10
170,0.01,0.6900000000000001,-1.2272241684381642e-10
171,0.01,0.7000000000000001,9.809021956701525e-11
172,0.01,0.71,-5.916012116976242e-11
173,0.01,0.72,4.36310029250536e-11
174,0.01,0.73,-2.7361368609292073e-11
175,0.01,0.74,1.9179078301486537e-11
176,0.01,0.75,-1.2240043778096478e-11
177,0.01,0.76,8.294140123341583e-12
178,0.01,0.77,-5.319891297030429e-12
179,0.01,0.78,3.5189610720396094e-12
180,0.01,0.79,-2.2521095948078293e-12
181,0.01,0.8,1.4622878029689545e-12
182,0.01,0.81,-9.299657457443863e-13
183,0.01,0.8200000000000001,5.945741259158797e-13
184,0.01,0.8300000000000001,-3.748809811062957e-13
185,0.01,0.84,2.364262117569507e-13
186,0.01,0.85,-1.475963288969597e-13
187,0.01,0.86,9.191150764881034e-14
188,0.01,0.87,-5.6771830616255734e-14
189,0.01,0.88,3.492668707012341e-14
190,0.01,0.89,-2.1337012104838584e-14
191,0.01,0.9,1.2972292647967023e-14
192,0.01,0.91,-7.836190165120765e-15
193,0.01,0.92,4.70856353416147e-15
194,0.01,0.93,-2.8115511863050006e-15
195,0.01,0.9400000000000001,1.6687150283038973e-15
196,0.01,0.9500000000000001,-9.828883807069047e-16
197,0.01,0.96,5.726815697398052e-16
198,0.01,0.97,-3.263420914435473e-16
199,0.01,0.98,1.7528355296673265e-16
200,0.01,0.99,-7.621041267121645e-17
201,0.01,1.0,0.0
202,0.02,0.0,1.0
203,0.02,0.01,0.9436152122247808
204,0.02,0.02,0.887516477658024
205,0.02,0.03,0.8319677167059362
206,0.02,0.04,0.7772601962986326
207,0.02,0.05,0.7236198073175965
208,0.02,0.06,0.6713267533513806
209,0.02,0.07,0.6205555942648546
210,0.02,0.08,0.5715613626817695
211,0.02,0.09,0.5244578469163009
212,0.02,0.1,0.47946415979842943
213,0.02,0.11,0.4366285319776723
214,0.02,0.12,0.39612747797964437
215,0.02,0.13,0.35794377295285795
216,0.02,0.14,0.32220890107318273
217,0.02,0.15,0.28884484850189984
218,0.02,0.16,0.25793955290055115
219,0.02,0.17,0.22936264549011093
220,0.02,0.18,0.203163182065708
221,0.02,0.19,0.17916951765036215
222,0.02,0.2,0.15739868278473818
223,0.02,0.21,0.13765020919563853
224,0.02,0.22,0.1199170760158697
225,0.02,0.23,0.1039825774767982
226,0.02,0.24,0.08982372656182284
227,0.02,0.25,0.07721923407365265
228,0.02,0.26,0.06613752486932069
229,0.02,0.27,0.05636265956189022
230,0.02,0.28,0.04786058302267094
231,0.02,0.29,0.0404284478136058
232,0.02,0.3,0.03403426811111978
233,0.02,0.31,0.02849367945161868
234,0.02,0.32,0.023779714746909694
235,0.02,0.33,0.019729634208658184
236,0.02,0.34,0.016322990635438267
237,0.02,0.35000000000000003,0.013419852677523974
238,0.02,0.36,0.011006620878135599
239,0.02,0.37,0.008965799614828827
240,0.02,0.38,0.007290121495466076
241,0.02,0.39,0.005883035725670153
242,0.02,0.4,0.004742574795580118
243,0.02,0.41000000000000003,0.0037909407957606085
244,0.02,0.42,0.0030302011958743026
245,0.02,0.43,0.0023987753447809665
246,0.02,0.44,0.0019014863057406203
247,0.02,0.45,0.0014903694020983798
248,0.02,0.46,0.0011718559022945284
249,0.02,0.47000000000000003,0.0009091252030281675
250,0.02,0.48,0.0007092818094632671
251,0.02,0.49,0.0005444263063624106
252,0.02,0.5,0.000421641071285071
253,0.02,0.51,0.0003200321951938993
254,0.02,0.52,0.000246193707179511
255,0.02,0.53,0.00018464166596811844
256,0.02,0.54,0.00014121164756049202
257,0.02,0.55,0.00010453742312113202
258,0.02,0.56,7.957906950232098e-05
259,0.02,0.5700000000000001,5.806537734080059e-05
260,0.02,0.58,4.40729690428662e-05
261,0.02,0.59,3.163167128382372e-05
262,0.02,0.6,2.3996610809045482e-05
263,0.02,0.61,1.689195716429478e-05
264,0.02,0.62,1.2851642188734627e-05
265,0.02,0.63,8.836679724017674e-06
266,0.02,0.64,6.775172105389489e-06
267,0.02,0.65,4.523778838744697e-06
268,0.02,0.66,3.5195631981563837e-06
269,0.02,0.67,2.2627600162317173e-06
270,0.02,0.68,1.8042577304175318e-06
271,0.02,0.6900000000000001,1.1031926174079013e-06
272,0.02,0.7000000000000001,9.145908379521096e-07
273,0.02,0.71,5.222386696233409e-07
274,0.02,0.72,4.5968820900119106e-07
275,0.02,0.73,2.385170999436529e-07
276,0.02,0.74,2.2991998790763396e-07
277,0.02,0.75,1.0392448170542866e-07
278,0.02,0.76,1.1496053915344142e-07
279,0.02,0.77,4.226715300411509e-08
280,0.02,0.78,5.7773925443890896e-08
281,0.02,0.79,1.527058952112126e-08
282,0.02,0.8,2.9354485181038908e-08
283,0.02,0.81,4.193862758655445e-09
284,0.02,0.8200000000000001,1.5162993462873683e-08
285,0.02,0.8300000000000001,1.1797750328279206e-10
286,0.02,0.84,7.996071836311201e-09
287,0.02,0.85,-1.0625532677819058e-09
288,0.02,0.86,4.312529664688387e-09
289,0.02,0.87,-1.1598385737312408e-09
290,0.02,0.88,2.375970130580349e-09
291,0.02,0.89,-9.283184886951119e-10
292,0.02,0.9,1.3313920744481958e-09
293,0.02,0.91,-6.538641731477107e-10
294,0.02,0.92,7.525119122523477e-10
295,0.02,0.93,-4.256970009284722e-10
296,0.02,0.9400000000000001,4.219963832278751e-10
297,0.02,0.9500000000000001,-2.569648733228192e-10
298,0.02,0.96,2.2508728019949136e-10
299,0.02,0.97,-1.3528002553535063e-10
300,0.02,0.98,9.765803789269637e-11
301,0.02,0.99,-4.1976341500946894e-11
302,0.02,1.0,0.0
303,0.03,0.0,1.0
304,0.03,0.01,0.9539536298179102
305,0.03,0.02,0.9080593810862401
306,0.03,0.03,0.8624727934786873
307,0.03,0.04,0.8173364939867043
308,0.03,0.05,0.7728033558002649
309,0.03,0.06,0.7290008462055919
310,0.03,0.07,0.6860734759329126
311,0.03,0.08,0.6441286689670696
312,0.03,0.09,0.6032976219474583
313,0.03,0.1,0.5636639187377753
314,0.03,0.11,0.5253415175050112
315,0.03,0.12,0.4883876652693737
316,0.03,0.13,0.45289637231617197
317,0.03,0.14,0.41889745771911074
318,0.03,0.15,0.38646357042670376
319,0.03,0.16,0.3555974095409517
320,0.03,0.17,0.32635011952642157
321,0.03,0.18,0.2986988753135616
322,0.03,0.19,0.27267432277722864
323,0.03,0.2,0.2482307977282357
324,0.03,0.21,0.2253804052962398
325,0.03,0.22,0.20405815527828744
326,0.03,0.23,0.1842602744795859
327,0.03,0.24,0.16590649261044046
328,0.03,0.25,0.14898025530382222
329,0.03,0.26,0.13339029057533378
330,0.03,0.27,0.11911052914921393
331,0.03,0.28,0.1060429287337015
332,0.03,0.29,0.09415510185503594
333,0.03,0.3,0.08334618233812033
334,0.03,0.31,0.0735803967417328
335,0.03,0.32,0.06475753375680535
336,0.03,0.33,0.0568409603881991
337,0.03,0.34,0.04973401019209804
338,0.03,0.35000000000000003,0.04340122641585867
339,0.03,0.36,0.037751728821168166
340,0.03,0.37,0.03275275070521652
